time_point,player1_x,player1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event,p1_belief_p2_stag,p2_belief_p1_stag,p1_coord_prob,p2_coord_prob,p1_cross_trial_expectation,p2_cross_trial_expectation,p1_EU_stag,p1_EU_rabbit,p1_P_choose_stag,p1_P_choose_rabbit,p1_choice_entropy,p1_goal_conflict,p1_P_coord,p1_timing_alignment,p1_dist_to_stag,p1_dist_to_rabbit,p2_EU_stag,p2_EU_rabbit,p2_P_choose_stag,p2_P_choose_rabbit,p2_choice_entropy,p2_goal_conflict,p2_P_coord,p2_timing_alignment,p2_dist_to_stag,p2_dist_to_rabbit,trial_num
1724460624.604812,-252.0,-252.0,252.0,252.0,252.0,-252.0,-252.0,252.0,2.0,0.0,0.5,0.5,0.5,0.5,0.52,0.52,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,4
1724460624.6384327,-252.0,-252.0,252.0,252.0,252.0,-252.0,-252.0,252.0,2.0,0.0,0.5,0.5,0.5,0.5,0.52,0.52,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,4
1724460624.672053,-252.0,-252.0,252.0,252.0,252.0,-252.0,-252.0,252.0,2.0,0.0,0.5,0.5,0.5,0.5,0.52,0.52,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,4
1724460624.7056394,-252.0,-252.0,252.0,252.0,252.0,-252.0,-252.0,252.0,2.0,0.0,0.5,0.5,0.5,0.5,0.52,0.52,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,4
1724460624.739195,-252.0,-252.0,252.0,252.0,252.0,-252.0,-252.0,252.0,2.0,0.0,0.5,0.5,0.5,0.5,0.52,0.52,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,1.0,1.0,0.5,0.5,0.6931471803599453,1.0,0.5,1.0,504.0,504.0,4
1724460624.7896707,-252.0,-252.0,252.0,252.0,253.0,-247.0,-253.0,249.0,2.0,0.0,0.5,0.5,0.49959698958875515,0.49959698958875515,0.52,0.52,0.9991939791773491,1.0,0.49959698967594907,0.500403010324051,0.6931468555252676,0.999193979351898,0.49959698958867454,0.9991939791773491,505.0247518686584,501.000998002998,0.9991939791773491,1.0,0.49959698967594907,0.500403010324051,0.6931468555252676,0.999193979351898,0.49959698958867454,0.9991939791773491,499.001002003002,505.0089108124727,4
1724460624.834496,-252.0,-252.0,252.0,252.0,254.0,-242.0,-254.0,246.0,2.0,0.0,0.5,0.5,0.4983772709269107,0.4983772709269107,0.52,0.52,0.9967545418531734,1.0,0.4983772766239637,0.5016227233760363,0.6931419138883897,0.9967545532479274,0.4983772709265867,0.9967545418531734,506.09880458266247,498.0040160480636,0.9967545418531734,1.0,0.4983772766239637,0.5016227233760363,0.6931419138883897,0.9967545532479274,0.4983772709265867,0.9967545418531734,494.00404856640597,506.0355718721758,4
1724460624.875128,-252.0,-252.0,252.0,252.0,255.0,-237.0,-255.0,243.0,2.0,0.0,0.5,0.5,0.4963279905908544,0.4963279905908544,0.52,0.52,0.9926559811802455,1.0,0.4963280566048333,0.5036719433951667,0.693120213780951,0.9926561132096665,0.4963279905901227,0.9926559811802455,507.22184495543956,495.00909082561304,0.9926559811802455,1.0,0.4963280566048333,0.5036719433951667,0.693120213780951,0.9926561132096665,0.4963279905901227,0.9926559811802455,489.0092023673992,507.07987536481863,4
1724460624.9156852,-252.0,-252.0,252.0,252.0,256.0,-232.0,-256.0,240.0,2.0,0.0,0.5,0.5,0.4934407472601518,0.4934407472601518,0.52,0.52,0.9868814945176972,1.0,0.49344112350488895,0.506558876495111,0.6930611401705227,0.986882247009778,0.4934407472588486,0.9868814945176972,508.3935483461607,492.0162598939186,0.9868814945176972,1.0,0.49344112350488895,0.506558876495111,0.6930611401705227,0.986882247009778,0.4934407472588486,0.9868814945176972,484.0165286433925,508.1417125172859,4
1724460624.9563005,-252.0,-252.0,252.0,252.0,257.0,-227.0,-257.0,237.0,2.0,0.0,0.5,0.5,0.4897118304642236,0.4897118304642236,0.52,0.52,0.9794236609243746,1.0,0.4897132821710572,0.5102867178289427,0.6929355323005058,0.9794265643421145,0.4897118304621873,0.9794236609243746,509.61357909694675,489.0255617040892,0.9794236609243746,1.0,0.4897132821710572,0.5102867178289427,0.6929355323005058,0.9794265643421145,0.4897118304621873,0.9794236609243746,479.0260953225826,509.22097364503753,4
1724460624.9970508,-250.0,-250.0,252.0,252.0,258.0,-222.0,-258.0,234.0,2.0,0.0,0.5,0.503212178792732,0.4867737705937065,0.48990097935922505,0.52,0.52,0.9735475411821931,1.0,0.4867768546690858,0.5132231453309142,0.6927974364395553,0.9735537093381716,0.48677377059109656,0.9735475411821931,508.7710683598272,484.06611118730467,0.9798019587131966,1.0,0.48990235246761726,0.5100976475323827,0.6929432415245089,0.9798047049352345,0.4899009793565983,0.9735475411821931,474.0379731624883,510.31754819915807,4
1724460625.0376518,-249.0,-249.0,252.0,252.0,259.0,-217.0,-259.0,231.0,2.0,0.0,0.5,0.5074525845744124,0.48257344974566807,0.4897662886408592,0.52,0.52,0.9651468994844885,1.0,0.48258050254984824,0.5174194974501517,0.6925401797505901,0.9651610050996966,0.48257344974224425,0.9651468994844885,509.006876181452,480.10415536631217,0.9795325772747687,1.0,0.48976771741770875,0.5102322825822913,0.6929377665277984,0.9795354348354175,0.48976628863738436,0.9651468994844885,469.0522358970267,511.4313248130193,4
