time_point,player1_x,plater1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event
1724460624.6048121,-252,-252,252,252,252,-252,-252,252,2,0
1724460624.6384327,-252,-252,252,252,252,-252,-252,252,2,0
1724460624.672053,-252,-252,252,252,252,-252,-252,252,2,0
1724460624.7056394,-252,-252,252,252,252,-252,-252,252,2,0
1724460624.7391953,-252,-252,252,252,252,-252,-252,252,2,0
1724460624.7896707,-252,-252,252,252,253.0,-247.0,-253.0,249.0,2,0
1724460624.834496,-252,-252,252,252,254.0,-242.0,-254.0,246.0,2,0
1724460624.875128,-252,-252,252,252,255.0,-237.0,-255.0,243.0,2,0
1724460624.9156852,-252,-252,252,252,256.0,-232.0,-256.0,240.0,2,0
1724460624.9563005,-252,-252,252,252,257.0,-227.0,-257.0,237.0,2,0
1724460624.9970508,-250,-250,252,252,258.0,-222.0,-258.0,234.0,2,0
1724460625.0376518,-249,-249,252,252,259.0,-217.0,-259.0,231.0,2,0
1724460625.0783606,-248,-248,252,252,260.0,-212.0,-260.0,228.0,2,0
1724460625.119015,-247,-247,252,252,261.0,-207.0,-261.0,225.0,2,0
1724460625.15962,-246,-246,252,252,262.0,-202.0,-262.0,222.0,2,0
1724460625.2003093,-244,-244,252,252,263.0,-197.0,-263.0,219.0,2,0
1724460625.2410138,-244,-243,252,252,264.0,-192.0,-264.0,216.0,2,0
1724460625.2816203,-245,-243,252,252,265.0,-187.0,-265.0,213.0,2,0
1724460625.3223715,-246,-243,252,252,266.0,-182.0,-266.0,210.0,2,0
1724460625.3632975,-246,-243,251,252,267.0,-177.0,-267.0,207.0,2,0
1724460625.4040425,-246,-243,250,252,268.0,-172.0,-268.0,204.0,2,0
1724460625.4447904,-246,-243,248,252,269.0,-167.0,-269.0,201.0,2,0
1724460625.4855974,-246,-243,245,252,270.0,-162.0,-270.0,198.0,2,0
1724460625.526319,-246,-243,241,252,271.0,-157.0,-271.0,195.0,2,0
1724460625.5669847,-246,-243,236,252,272.0,-152.0,-272.0,192.0,2,0
1724460625.6079159,-245,-241,226,251,273.0,-147.0,-273.0,189.0,2,0
1724460625.648741,-244,-240,221,250,274.0,-142.0,-274.0,186.0,2,0
1724460625.6892447,-243,-239,216,249,275.0,-137.0,-275.0,183.0,2,0
1724460625.7299812,-241,-235,206,247,276.0,-132.0,-276.0,180.0,2,0
1724460625.770723,-240,-232,201,246,277.0,-127.0,-277.0,177.0,2,0
1724460625.8114543,-239,-229,196,245,278.0,-122.0,-278.0,174.0,2,0
1724460625.8521144,-238,-225,191,244,281.0,-118.0,-279.0,171.0,2,0
1724460625.8927584,-237,-216,181,242,286.0,-116.0,-280.0,168.0,2,0
1724460625.9335303,-236,-211,176,241,291.0,-114.0,-281.0,165.0,2,0
1724460625.9742942,-235,-206,171,240,296.0,-112.0,-282.0,162.0,2,0
1724460626.0149858,-233,-196,161,238,301.0,-110.0,-283.0,159.0,2,0
1724460626.0557039,-233,-196,161,238,306.0,-108.0,-284.0,156.0,2,0
1724460626.0964584,-231,-186,151,235,311.0,-106.0,-285.0,153.0,2,0
1724460626.1371403,-230,-181,146,233,316.0,-104.0,-286.0,150.0,2,0
1724460626.177996,-228,-171,136,229,321.0,-102.0,-287.0,147.0,2,0
1724460626.2188766,-227,-166,131,227,326.0,-100.0,-288.0,144.0,2,0
1724460626.2595234,-226,-161,126,225,331.0,-98.0,-289.0,141.0,2,0
1724460626.3005555,-225,-156,121,223,336.0,-96.0,-290.0,138.0,2,0
1724460626.3412476,-224,-151,116,221,341.0,-94.0,-291.0,135.0,2,0
1724460626.3818326,-222,-141,106,217,346.0,-92.0,-292.0,132.0,2,0
1724460626.4224246,-221,-136,101,215,351.0,-90.0,-293.0,129.0,2,0
1724460626.4631667,-220,-131,96,213,356.0,-88.0,-294.0,126.0,2,0
1724460626.503747,-219,-126,91,211,361.0,-86.0,-295.0,123.0,2,0
1724460626.544489,-218,-121,86,209,365.0,-83.0,-296.0,120.0,2,0
1724460626.5852733,-216,-111,76,205,368.0,-79.0,-297.0,117.0,2,0
1724460626.6258004,-215,-106,71,203,371.0,-75.0,-300.0,115.0,2,0
1724460626.6665328,-214,-101,66,201,375.0,-72.0,-303.0,115.0,2,0
1724460626.7071197,-213,-96,61,199,378.0,-68.0,-306.0,117.0,2,0
1724460626.7477586,-211,-86,51,195,382.0,-65.0,-309.0,119.0,2,0
1724460626.788542,-210,-81,46,193,385.0,-61.0,-312.0,121.0,2,0
1724460626.8289135,-209,-76,41,191,388.0,-57.0,-315.0,123.0,2,0
1724460626.8692315,-208,-71,36,189,391.0,-53.0,-318.0,125.0,2,0
1724460626.9097693,-208,-66,31,187,394.0,-49.0,-321.0,127.0,2,0
1724460626.9502068,-208,-56,21,183,397.0,-45.0,-324.0,129.0,2,0
1724460626.9904785,-208,-51,16,181,400.0,-41.0,-327.0,131.0,2,0
1724460627.0311534,-209,-46,11,179,403.0,-37.0,-330.0,133.0,2,0
1724460627.0717986,-210,-41,6,177,406.0,-33.0,-333.0,135.0,2,0
1724460627.112447,-215,-31,-4,173,409.0,-29.0,-336.0,137.0,2,0
1724460627.1533134,-218,-26,-9,171,410.0,-24.0,-339.0,139.0,2,0
1724460627.1939807,-222,-21,-14,169,411.0,-19.0,-342.0,141.0,2,0
1724460627.2347465,-227,-16,-19,167,412.0,-14.0,-345.0,143.0,2,0
