time_point,player1_x,plater1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event
1724460656.5648544,-251,251,251,-251,251,251,-251,-251,2,0
1724460656.5984397,-251,251,251,-251,251,251,-251,-251,2,0
1724460656.6320102,-251,251,251,-251,251,251,-251,-251,2,0
1724460656.6816015,-252,247,246,-254,252.0,246.0,-250.0,-248.0,2,0
1724460656.7267005,-253,245,246,-254,253.0,241.0,-249.0,-245.0,2,0
1724460656.7672737,-254,243,246,-254,254.0,236.0,-248.0,-242.0,2,0
1724460656.8076265,-255,241,246,-254,255.0,231.0,-247.0,-239.0,2,0
1724460656.8483534,-257,237,246,-254,256.0,226.0,-246.0,-236.0,2,0
1724460656.8890882,-258,235,246,-254,257.0,221.0,-245.0,-233.0,2,0
1724460656.9298754,-259,233,246,-254,258.0,216.0,-244.0,-230.0,2,0
1724460656.9706051,-260,231,246,-254,259.0,211.0,-243.0,-227.0,2,0
1724460657.0114453,-263,225,246,-254,260.0,206.0,-242.0,-224.0,2,0
1724460657.0522826,-265,222,246,-254,261.0,201.0,-241.0,-221.0,2,0
1724460657.0931594,-267,219,246,-254,262.0,196.0,-240.0,-218.0,2,0
1724460657.1339169,-269,215,246,-254,263.0,191.0,-239.0,-215.0,2,0
1724460657.1744766,-273,206,246,-254,264.0,186.0,-238.0,-212.0,2,0
1724460657.2152734,-275,201,246,-254,265.0,181.0,-237.0,-209.0,2,0
1724460657.2562263,-277,196,246,-254,266.0,176.0,-236.0,-206.0,2,0
1724460657.2971132,-280,186,247,-254,267.0,171.0,-235.0,-203.0,2,0
1724460657.3380787,-281,181,248,-254,268.0,166.0,-234.0,-200.0,2,0
1724460657.3790681,-281,176,249,-254,269.0,161.0,-233.0,-197.0,2,0
1724460657.4197721,-280,171,249,-254,270.0,156.0,-232.0,-194.0,2,0
1724460657.4606044,-277,162,249,-254,271.0,151.0,-231.0,-191.0,2,0
1724460657.5014462,-274,158,249,-254,272.0,146.0,-230.0,-188.0,2,0
1724460657.5422654,-270,154,249,-254,273.0,141.0,-229.0,-185.0,2,0
1724460657.5831885,-266,150,249,-254,274.0,136.0,-228.0,-182.0,2,0
1724460657.6239312,-262,146,249,-254,275.0,131.0,-227.0,-179.0,2,0
1724460657.66504,-252,140,251,-254,276.0,126.0,-226.0,-176.0,2,0
1724460657.7059848,-247,137,252,-254,277.0,121.0,-225.0,-173.0,2,0
1724460657.7469776,-242,134,253,-255,280.0,117.0,-224.0,-170.0,2,0
1724460657.7877347,-237,131,255,-256,285.0,115.0,-223.0,-167.0,2,0
1724460657.8287523,-227,127,259,-258,290.0,114.0,-222.0,-164.0,2,0
1724460657.8698995,-222,125,261,-259,295.0,113.0,-221.0,-161.0,2,0
1724460657.9108348,-217,123,263,-260,300.0,112.0,-222.0,-158.0,2,0
1724460657.9517012,-212,121,264,-260,305.0,112.0,-223.0,-155.0,2,0
1724460657.9926686,-207,119,264,-260,310.0,111.0,-224.0,-152.0,2,0
1724460658.0334709,-202,117,264,-260,315.0,111.0,-225.0,-149.0,2,0
1724460658.074462,-197,115,264,-260,320.0,110.0,-226.0,-146.0,2,0
1724460658.1155903,-187,111,264,-260,325.0,110.0,-227.0,-143.0,2,0
1724460658.156647,-182,109,264,-260,330.0,109.0,-228.0,-140.0,2,0
1724460658.1976573,-177,107,264,-260,335.0,109.0,-229.0,-137.0,2,0
1724460658.2387679,-167,103,263,-258,340.0,109.0,-230.0,-134.0,2,0
1724460658.2798958,-162,101,261,-257,345.0,109.0,-231.0,-131.0,2,0
1724460658.3208675,-157,99,258,-255,350.0,109.0,-232.0,-128.0,2,0
1724460658.362053,-152,97,254,-253,355.0,109.0,-233.0,-125.0,2,0
1724460658.4030707,-142,93,244,-249,360.0,108.0,-236.0,-123.0,2,0
