time_point,player1_x,plater1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event
1724460609.9120665,-173,-173,173,173,173,-173,-173,173,2,0
1724460609.9456854,-173,-173,173,173,173,-173,-173,173,2,0
1724460609.9961896,-174,-173,178,169,178.0,-171.0,-174.0,170.0,2,0
1724460610.0414643,-175,-174,183,165,183.0,-169.0,-175.0,167.0,2,0
1724460610.082534,-177,-176,191,161,188.0,-167.0,-176.0,164.0,2,0
1724460610.123403,-178,-177,195,159,193.0,-168.0,-177.0,161.0,2,0
1724460610.164427,-178,-177,203,155,198.0,-170.0,-176.0,158.0,2,0
1724460610.2053664,-178,-177,207,153,203.0,-172.0,-175.0,155.0,2,0
1724460610.2465444,-178,-177,211,151,208.0,-173.0,-174.0,152.0,2,0
1724460610.2873933,-178,-177,215,149,213.0,-174.0,-173.0,149.0,2,0
1724460610.32848,-178,-177,223,145,218.0,-175.0,-172.0,146.0,2,0
1724460610.369393,-178,-177,227,143,223.0,-177.0,-171.0,143.0,2,0
1724460610.4106405,-178,-177,231,141,228.0,-179.0,-170.0,140.0,2,0
1724460610.451529,-178,-177,235,139,233.0,-180.0,-169.0,137.0,2,0
1724460610.4924936,-178,-178,239,137,238.0,-181.0,-168.0,134.0,2,0
1724460610.5335145,-180,-180,247,133,243.0,-182.0,-167.0,131.0,2,0
1724460610.5745482,-181,-181,251,131,238.0,-183.0,-166.0,128.0,2,0
1724460610.615457,-183,-183,255,129,233.0,-185.0,-165.0,125.0,2,0
1724460610.6563826,-185,-186,259,127,228.0,-186.0,-164.0,122.0,2,0
1724460610.6974268,-191,-195,267,123,223.0,-185.0,-163.0,119.0,2,0
1724460610.7383614,-194,-200,271,121,218.0,-187.0,-162.0,116.0,2,0
1724460610.779334,-197,-205,275,119,213.0,-188.0,-161.0,113.0,2,0
1724460610.8202198,-199,-210,279,117,208.0,-187.0,-160.0,110.0,2,0
1724460610.861141,-200,-220,287,113,203.0,-186.0,-159.0,107.0,2,0
1724460610.9020245,-200,-225,291,111,198.0,-187.0,-158.0,104.0,2,0
1724460610.9430256,-199,-230,295,109,193.0,-186.0,-157.0,101.0,2,0
1724460610.9838781,-198,-235,299,107,188.0,-185.0,-156.0,98.0,2,0
1724460611.024752,-197,-240,303,105,183.0,-184.0,-155.0,95.0,2,0
1724460611.0656776,-193,-250,307,103,178.0,-183.0,-154.0,92.0,2,0
1724460611.1067717,-191,-255,307,103,173.0,-182.0,-153.0,89.0,2,0
1724460611.1476862,-189,-260,306,103,168.0,-180.0,-152.0,86.0,2,0
1724460611.188632,-187,-265,305,103,163.0,-179.0,-151.0,83.0,2,0
1724460611.2300415,-183,-275,302,103,158.0,-177.0,-150.0,80.0,2,0
1724460611.271161,-181,-280,300,103,153.0,-176.0,-149.0,77.0,2,0
