time_point,player1_x,plater1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event
1724460726.4830875,168,168,-168,-168,-168,168,168,-168,2,0
1724460726.5166872,168,168,-168,-168,-168,168,168,-168,2,0
1724460726.5502808,168,168,-168,-168,-168,168,168,-168,2,0
1724460726.591576,168,168,-171,-170,-173.0,170.0,169.0,-165.0,2,0
1724460726.6328409,168,168,-174,-172,-178.0,171.0,170.0,-162.0,2,0
1724460726.673689,178,160,-180,-176,-182.0,168.0,169.0,-159.0,2,0
1724460726.7145789,183,156,-183,-178,-185.0,164.0,168.0,-156.0,2,0
1724460726.7552981,193,148,-189,-182,-189.0,161.0,167.0,-153.0,2,0
1724460726.7960324,198,144,-192,-184,-194.0,159.0,166.0,-150.0,2,0
1724460726.8366776,203,140,-195,-186,-197.0,155.0,165.0,-147.0,2,0
1724460726.8776047,208,136,-198,-188,-202.0,153.0,164.0,-144.0,2,0
1724460726.9185452,213,133,-201,-190,-207.0,152.0,163.0,-141.0,2,0
1724460726.9594235,223,127,-207,-194,-212.0,150.0,162.0,-138.0,2,0
1724460727.000271,228,124,-210,-196,-217.0,148.0,161.0,-135.0,2,0
1724460727.0410285,233,122,-213,-198,-222.0,147.0,160.0,-132.0,2,0
1724460727.082013,243,118,-216,-200,-227.0,146.0,159.0,-129.0,2,0
1724460727.1227515,248,116,-216,-200,-232.0,147.0,158.0,-126.0,2,0
1724460727.1636777,258,114,-216,-200,-237.0,146.0,157.0,-123.0,2,0
1724460727.2046883,263,113,-216,-200,-242.0,145.0,156.0,-120.0,2,0
1724460727.2457213,268,112,-216,-200,-247.0,146.0,155.0,-117.0,2,0
1724460727.286607,273,110,-216,-200,-252.0,145.0,154.0,-114.0,2,0
1724460727.3276665,277,107,-216,-200,-257.0,144.0,153.0,-111.0,2,0
1724460727.3683844,281,104,-217,-200,-262.0,145.0,152.0,-108.0,2,0
1724460727.40935,289,98,-219,-200,-267.0,144.0,151.0,-105.0,2,0
