time_point,player1_x,plater1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event
1724460676.6800325,-123,-123,123,123,123,-123,-123,123,2,0
1724460676.7136474,-123,-123,123,123,123,-123,-123,123,2,0
1724460676.7648404,-123,-127,118,123,126.0,-127.0,-124.0,120.0,2,0
1724460676.8104475,-121,-133,112,123,129.0,-131.0,-127.0,118.0,2,0
1724460676.8512857,-120,-136,111,123,132.0,-135.0,-128.0,115.0,2,0
1724460676.8920374,-120,-139,110,123,135.0,-139.0,-129.0,112.0,2,0
1724460676.9331062,-120,-145,108,123,138.0,-143.0,-132.0,110.0,2,0
1724460676.974339,-120,-148,107,123,141.0,-147.0,-133.0,107.0,2,0
1724460677.0153906,-120,-151,106,123,144.0,-151.0,-134.0,104.0,2,0
1724460677.0565755,-120,-155,105,123,148.0,-154.0,-137.0,102.0,2,0
1724460677.097713,-120,-163,103,123,152.0,-157.0,-138.0,99.0,2,0
1724460677.138761,-120,-167,102,123,157.0,-159.0,-139.0,96.0,2,0
1724460677.1799307,-121,-171,101,123,161.0,-162.0,-142.0,94.0,2,0
1724460677.2210329,-122,-176,100,123,165.0,-165.0,-143.0,91.0,2,0
1724460677.262387,-126,-186,100,123,168.0,-169.0,-144.0,88.0,2,0
1724460677.3036706,-128,-191,99,123,171.0,-173.0,-145.0,85.0,2,0
1724460677.34497,-130,-196,98,123,176.0,-175.0,-146.0,82.0,2,0
1724460677.385998,-132,-201,97,123,181.0,-177.0,-147.0,79.0,2,0
1724460677.427463,-136,-211,95,123,186.0,-179.0,-148.0,76.0,2,0
1724460677.4687765,-138,-216,94,124,191.0,-177.0,-149.0,73.0,2,0
1724460677.5100398,-140,-221,92,125,196.0,-176.0,-152.0,71.0,2,0
1724460677.551089,-142,-226,90,126,201.0,-174.0,-153.0,68.0,2,0
1724460677.5921881,-143,-231,87,127,206.0,-172.0,-156.0,66.0,2,0
1724460677.633449,-145,-239,80,129,211.0,-170.0,-159.0,64.0,2,0
1724460677.6744258,-146,-242,75,130,216.0,-168.0,-162.0,62.0,2,0
1724460677.7153714,-147,-244,70,131,221.0,-166.0,-165.0,60.0,2,0
1724460677.756295,-148,-245,65,132,226.0,-164.0,-168.0,58.0,2,0
1724460677.7973616,-150,-247,55,131,231.0,-162.0,-171.0,56.0,2,0
1724460677.8383555,-151,-247,50,130,235.0,-159.0,-174.0,54.0,2,0
1724460677.8795192,-152,-247,45,129,239.0,-156.0,-177.0,52.0,2,0
1724460677.920573,-153,-247,40,127,244.0,-154.0,-180.0,50.0,2,0
1724460677.9618008,-155,-247,30,123,248.0,-151.0,-183.0,48.0,2,0
1724460678.0028467,-156,-247,25,121,252.0,-148.0,-186.0,46.0,2,0
1724460678.044213,-157,-246,20,118,256.0,-145.0,-189.0,44.0,2,0
1724460678.0854034,-158,-245,15,115,261.0,-143.0,-192.0,42.0,2,0
1724460678.1267135,-160,-243,5,107,265.0,-140.0,-195.0,40.0,2,0
1724460678.167852,-161,-242,0,103,269.0,-137.0,-198.0,38.0,2,0
1724460678.2092009,-162,-241,-5,98,273.0,-134.0,-201.0,36.0,2,0
1724460678.250334,-163,-240,-10,93,277.0,-131.0,-204.0,34.0,2,0
1724460678.291611,-164,-238,-15,88,281.0,-128.0,-207.0,32.0,2,0
1724460678.334665,-168,-234,-25,78,285.0,-125.0,-210.0,30.0,2,0
1724460678.3757367,-170,-232,-30,73,288.0,-121.0,-213.0,28.0,2,0
1724460678.4169803,-172,-230,-35,68,291.0,-117.0,-216.0,26.0,2,0
1724460678.4581475,-174,-228,-40,63,294.0,-113.0,-219.0,24.0,2,0
1724460678.4994524,-180,-222,-50,53,297.0,-109.0,-222.0,22.0,2,0
1724460678.5421212,-183,-218,-55,48,300.0,-105.0,-225.0,20.0,2,0
1724460678.5832458,-187,-214,-60,43,303.0,-101.0,-228.0,18.0,2,0
1724460678.6244087,-191,-210,-65,39,306.0,-97.0,-231.0,16.0,2,0
1724460678.6655357,-199,-201,-75,31,309.0,-93.0,-234.0,14.0,2,0
1724460678.7067664,-203,-196,-80,27,310.0,-88.0,-237.0,12.0,2,0
1724460678.7478666,-208,-191,-85,23,313.0,-84.0,-240.0,10.0,2,0
1724460678.7889369,-213,-186,-90,20,314.0,-79.0,-243.0,8.0,2,0
1724460678.8302336,-223,-176,-100,15,315.0,-74.0,-246.0,6.0,2,0
1724460678.8713455,-228,-171,-105,13,316.0,-69.0,-249.0,8.0,2,0
1724460678.912592,-233,-166,-110,11,317.0,-64.0,-252.0,10.0,2,0
1724460678.953733,-238,-161,-115,10,318.0,-59.0,-255.0,12.0,2,0
1724460678.9947755,-243,-156,-120,9,319.0,-54.0,-256.0,15.0,2,0
1724460679.0360053,-253,-146,-130,8,320.0,-49.0,-257.0,18.0,2,0
1724460679.0771542,-258,-141,-135,8,321.0,-44.0,-258.0,21.0,2,0
1724460679.1180995,-263,-136,-140,9,322.0,-39.0,-257.0,24.0,2,0
1724460679.1591034,-273,-126,-150,11,323.0,-34.0,-256.0,27.0,2,0
1724460679.200043,-278,-121,-155,12,324.0,-29.0,-255.0,30.0,2,0
1724460679.2408597,-283,-116,-160,13,325.0,-24.0,-254.0,33.0,2,0
1724460679.2818475,-288,-111,-165,14,326.0,-19.0,-253.0,36.0,2,0
1724460679.3227892,-293,-106,-170,15,327.0,-14.0,-252.0,39.0,2,4
1724460679.3637934,-303,-96,-180,19,328.0,-9.0,-251.0,42.0,2,4
1724460676.6465018
