time_point,player1_x,plater1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event
1724460684.8778818,-160,-160,160,160,160,-160,-160,160,2,0
1724460684.9114785,-160,-160,160,160,160,-160,-160,160,2,0
1724460684.962183,-162,-168,152,162,163.0,-164.0,-161.0,157.0,2,0
1724460685.0071695,-162,-169,149,162,166.0,-168.0,-162.0,154.0,2,0
1724460685.047978,-162,-171,146,162,171.0,-170.0,-163.0,151.0,2,0
1724460685.0887191,-162,-175,140,162,176.0,-172.0,-164.0,148.0,2,0
1724460685.1294105,-162,-178,137,162,181.0,-170.0,-165.0,145.0,2,0
1724460685.1701822,-162,-181,134,162,186.0,-168.0,-166.0,142.0,2,0
1724460685.210984,-162,-189,128,162,191.0,-166.0,-167.0,139.0,2,0
1724460685.2516227,-162,-193,125,162,196.0,-164.0,-168.0,136.0,2,0
1724460685.2924616,-162,-197,122,162,201.0,-162.0,-169.0,133.0,2,0
1724460685.3332574,-162,-201,119,162,206.0,-160.0,-170.0,130.0,2,0
1724460685.3739185,-162,-205,116,162,211.0,-158.0,-171.0,127.0,2,0
1724460685.4147253,-162,-209,113,162,216.0,-157.0,-172.0,124.0,2,0
1724460685.4556484,-162,-218,107,162,221.0,-155.0,-173.0,121.0,2,0
1724460685.4965115,-163,-223,104,162,226.0,-153.0,-174.0,118.0,2,0
1724460685.537422,-164,-228,101,162,231.0,-151.0,-175.0,115.0,2,0
1724460685.5783365,-165,-238,98,162,236.0,-150.0,-176.0,112.0,2,0
1724460685.619055,-165,-243,98,162,241.0,-148.0,-177.0,109.0,2,0
1724460685.6597857,-165,-248,98,162,246.0,-147.0,-178.0,106.0,2,0
1724460685.7006052,-164,-253,98,162,251.0,-146.0,-179.0,103.0,2,0
1724460685.7414172,-160,-263,98,162,256.0,-144.0,-180.0,100.0,2,0
1724460685.7822456,-157,-268,98,162,261.0,-143.0,-181.0,97.0,2,0
1724460685.822894,-153,-272,98,162,266.0,-141.0,-182.0,94.0,2,0
1724460685.8635254,-149,-276,98,162,271.0,-140.0,-183.0,91.0,2,0
1724460685.9044251,-140,-283,97,162,276.0,-138.0,-184.0,88.0,2,0
1724460685.945222,-135,-286,96,162,281.0,-136.0,-185.0,85.0,2,0
1724460685.9858735,-130,-289,95,162,286.0,-134.0,-186.0,82.0,2,0
1724460686.0266404,-125,-291,94,162,291.0,-132.0,-187.0,79.0,2,0
1724460686.067265,-115,-295,90,162,296.0,-130.0,-188.0,76.0,2,0
1724460686.107915,-110,-297,88,161,301.0,-128.0,-189.0,73.0,2,0
1724460686.149174,-105,-298,86,160,306.0,-126.0,-190.0,70.0,2,0
1724460686.1899347,-100,-299,84,159,311.0,-124.0,-191.0,67.0,2,0
1724460686.2314801,-90,-299,80,157,316.0,-122.0,-192.0,64.0,2,0
1724460686.2724977,-85,-298,78,156,321.0,-120.0,-193.0,61.0,2,0
1724460686.3133287,-80,-297,77,154,326.0,-118.0,-194.0,58.0,2,0
1724460686.3540294,-75,-296,77,153,331.0,-116.0,-195.0,55.0,2,0
1724460686.3949606,-65,-293,80,151,336.0,-114.0,-196.0,52.0,2,0
1724460686.435759,-60,-291,82,149,341.0,-112.0,-197.0,49.0,2,0
1724460686.4765606,-55,-289,85,147,346.0,-110.0,-198.0,46.0,2,0
1724460686.5172193,-50,-287,89,144,351.0,-111.0,-199.0,43.0,2,0
1724460686.5578308,-45,-285,93,140,356.0,-112.0,-200.0,40.0,2,0
1724460686.5983875,-40,-283,97,136,361.0,-114.0,-201.0,37.0,2,0
1724460686.639065,-30,-278,106,128,366.0,-115.0,-202.0,34.0,2,0
1724460686.6796932,-25,-275,111,124,371.0,-117.0,-203.0,31.0,2,0
1724460686.7203658,-20,-272,116,120,376.0,-119.0,-204.0,28.0,2,0
1724460686.7610865,-15,-269,121,115,381.0,-121.0,-205.0,25.0,2,0
1724460686.8016834,-5,-263,131,105,386.0,-123.0,-206.0,22.0,2,0
1724460686.8422801,-5,-263,131,105,391.0,-125.0,-207.0,19.0,2,0
1724460686.8830166,5,-256,141,95,396.0,-127.0,-208.0,16.0,2,0
1724460686.9238396,10,-252,146,90,401.0,-129.0,-209.0,13.0,2,0
1724460686.964635,20,-244,156,80,406.0,-131.0,-210.0,10.0,2,0
1724460687.005551,25,-240,161,75,411.0,-133.0,-211.0,7.0,2,0
1724460687.046587,30,-236,166,70,416.0,-135.0,-212.0,4.0,2,0
1724460687.087496,35,-232,171,65,421.0,-137.0,-213.0,1.0,2,0
1724460687.1285064,45,-224,181,55,426.0,-139.0,-216.0,1.0,2,0
1724460687.1693754,45,-224,181,55,431.0,-141.0,-219.0,1.0,2,0
1724460687.2103865,55,-216,191,45,436.0,-143.0,-222.0,1.0,2,0
1724460687.2514524,60,-212,196,40,441.0,-145.0,-225.0,1.0,2,0
1724460687.2924566,65,-208,201,35,446.0,-147.0,-228.0,0.0,2,0
1724460687.3329837,75,-200,211,25,451.0,-149.0,-231.0,1.0,2,0
1724460687.3734593,80,-196,216,20,456.0,-151.0,-234.0,0.0,2,0
1724460687.4137642,85,-192,221,15,461.0,-153.0,-237.0,1.0,2,0
1724460687.4541762,90,-188,226,10,466.0,-155.0,-240.0,0.0,2,0
1724460687.494805,100,-180,236,0,471.0,-157.0,-243.0,1.0,2,0
1724460687.535611,105,-176,241,-5,476.0,-159.0,-246.0,0.0,2,0
1724460687.5766208,110,-172,246,-10,481.0,-161.0,-249.0,1.0,2,0
1724460687.617531,115,-168,251,-15,486.0,-163.0,-252.0,0.0,2,0
1724460687.6583254,125,-160,261,-25,491.0,-165.0,-255.0,1.0,2,0
1724460687.6991434,130,-156,266,-30,496.0,-167.0,-258.0,0.0,2,0
1724460687.7400048,135,-152,271,-35,501.0,-169.0,-255.0,1.0,2,0
1724460687.7807786,140,-148,276,-40,506.0,-171.0,-258.0,0.0,2,0
1724460687.821618,145,-144,281,-45,511.0,-173.0,-255.0,1.0,2,0
1724460687.8627675,155,-136,291,-55,516.0,-175.0,-258.0,0.0,2,0
