time_point,player1_x,plater1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event
1724460641.7796633,-188,188,188,-188,188,188,-188,-188,2,0
1724460641.8132815,-188,188,188,-188,188,188,-188,-188,2,0
1724460641.8468342,-188,188,193,-183,188,188,-188,-188,2,0
1724460641.8977098,-188,188,203,-175,189.0,183.0,-189.0,-185.0,2,0
1724460641.942661,-188,188,208,-171,190.0,178.0,-188.0,-182.0,2,0
1724460641.983225,-188,188,213,-167,191.0,173.0,-187.0,-179.0,2,0
1724460642.023293,-188,188,218,-163,194.0,169.0,-186.0,-176.0,2,0
1724460642.063577,-188,188,228,-155,199.0,168.0,-185.0,-173.0,2,0
1724460642.1039307,-188,188,233,-151,196.0,172.0,-184.0,-170.0,2,0
1724460642.1443777,-188,188,238,-147,191.0,174.0,-183.0,-167.0,2,0
1724460642.1850216,-188,188,243,-143,186.0,175.0,-182.0,-164.0,2,0
1724460642.2304616,-188,188,253,-135,181.0,176.0,-181.0,-161.0,2,0
1724460642.2711194,-188,188,258,-131,176.0,178.0,-180.0,-158.0,2,0
1724460642.3117783,-188,188,264,-129,171.0,177.0,-179.0,-155.0,2,0
1724460642.35258,-188,188,264,-129,176.0,178.0,-178.0,-152.0,2,0
1724460642.3935742,-188,188,264,-129,171.0,177.0,-177.0,-149.0,2,0
1724460642.4343982,-188,188,264,-129,176.0,178.0,-176.0,-146.0,2,0
1724460642.4751923,-188,188,264,-129,171.0,177.0,-175.0,-143.0,2,0
1724460642.5160358,-188,189,267,-129,176.0,178.0,-174.0,-140.0,2,0
1724460642.5568266,-187,190,269,-129,171.0,176.0,-173.0,-137.0,2,0
1724460642.597689,-185,192,272,-129,176.0,177.0,-172.0,-134.0,2,0
1724460642.638427,-181,195,275,-129,181.0,177.0,-171.0,-131.0,2,0
1724460642.6790257,-171,202,281,-129,186.0,178.0,-170.0,-128.0,2,0
1724460642.719571,-166,206,285,-129,191.0,177.0,-171.0,-125.0,2,0
1724460642.7603202,-161,210,289,-128,196.0,178.0,-172.0,-122.0,2,0
1724460642.8009708,-156,214,293,-127,201.0,178.0,-173.0,-119.0,2,0
1724460642.8418388,-151,218,297,-126,206.0,179.0,-174.0,-116.0,2,0
1724460642.8825488,-146,222,301,-125,211.0,180.0,-175.0,-113.0,2,0
1724460642.9231358,-141,227,305,-124,216.0,181.0,-176.0,-110.0,2,0
1724460642.9638188,-131,237,311,-122,221.0,181.0,-177.0,-107.0,2,0
1724460643.0045552,-126,242,313,-121,226.0,182.0,-178.0,-104.0,2,0
1724460643.0451896,-116,252,313,-118,231.0,184.0,-179.0,-101.0,2,0
1724460643.0858455,-111,257,312,-116,236.0,186.0,-180.0,-98.0,2,0
1724460643.1266615,-106,262,311,-113,240.0,189.0,-181.0,-95.0,2,0
1724460643.167294,-101,267,310,-109,244.0,192.0,-182.0,-92.0,2,0
1724460643.207952,-96,272,310,-104,248.0,195.0,-183.0,-89.0,2,0
1724460643.2486238,-86,282,310,-94,252.0,198.0,-184.0,-86.0,2,0
1724460643.28913,-81,287,310,-89,253.0,203.0,-185.0,-83.0,2,0
1724460643.3300526,-76,292,309,-84,256.0,207.0,-186.0,-80.0,2,0
1724460643.370629,-71,297,308,-79,260.0,210.0,-185.0,-77.0,2,0
1724460643.411154,-61,306,306,-69,264.0,213.0,-184.0,-74.0,2,0
1724460643.4518347,-56,310,305,-64,265.0,218.0,-183.0,-71.0,2,0
1724460643.4926758,-51,314,304,-59,268.0,222.0,-182.0,-68.0,2,0
1724460643.5335839,-46,317,303,-54,272.0,225.0,-183.0,-65.0,2,0
1724460643.574364,-41,320,303,-49,276.0,228.0,-182.0,-62.0,2,0
1724460643.6151552,-36,322,303,-44,280.0,231.0,-181.0,-59.0,2,0
1724460643.655889,-31,323,303,-39,284.0,234.0,-180.0,-56.0,2,0
1724460643.696768,-21,324,303,-29,287.0,238.0,-179.0,-53.0,2,0
1724460643.7375886,-16,324,303,-24,290.0,242.0,-178.0,-50.0,2,0
1724460643.7783515,-6,322,303,-14,295.0,244.0,-177.0,-47.0,2,0
1724460643.8193924,-1,321,303,-9,299.0,247.0,-176.0,-44.0,2,0
1724460643.8603323,4,319,303,-4,303.0,250.0,-175.0,-41.0,2,0
1724460643.9011185,9,317,303,1,306.0,254.0,-176.0,-38.0,2,0
1724460643.9420958,14,315,303,6,310.0,257.0,-175.0,-35.0,2,0
1724460643.9829004,19,312,303,11,314.0,260.0,-174.0,-32.0,2,0
1724460644.0235746,24,308,303,16,319.0,262.0,-173.0,-29.0,2,0
1724460644.0643325,34,299,305,26,323.0,265.0,-174.0,-26.0,2,0
1724460644.104999,39,294,306,31,326.0,269.0,-175.0,-23.0,2,0
1724460644.1455584,44,289,307,36,330.0,272.0,-176.0,-20.0,2,0
1724460644.1861734,49,284,308,41,334.0,275.0,-177.0,-17.0,2,0
1724460644.2271638,54,279,309,46,339.0,277.0,-178.0,-14.0,2,0
1724460644.2676888,59,274,310,51,343.0,280.0,-179.0,-11.0,2,0
1724460644.3083484,64,269,311,56,348.0,282.0,-180.0,-8.0,2,0
1724460644.3489525,74,259,314,66,351.0,286.0,-181.0,-5.0,2,0
1724460644.389501,79,254,316,71,354.0,290.0,-182.0,-2.0,2,0
1724460644.4302974,84,249,318,76,359.0,292.0,-185.0,-0.0,2,0
1724460644.4710867,94,239,322,86,362.0,296.0,-188.0,1.0,2,0
1724460644.5117104,99,234,324,91,365.0,300.0,-191.0,0.0,2,0
1724460644.5523853,104,229,326,96,369.0,303.0,-194.0,1.0,2,0
1724460644.5931594,109,224,328,101,374.0,305.0,-197.0,0.0,2,0
1724460644.633871,119,214,332,111,379.0,307.0,-200.0,1.0,2,0
1724460644.6748877,124,209,334,116,384.0,309.0,-203.0,0.0,2,0
1724460644.7159765,129,204,336,121,387.0,313.0,-206.0,1.0,2,0
1724460644.7567983,134,199,338,126,390.0,317.0,-209.0,0.0,2,0
1724460644.7978373,139,194,340,131,395.0,319.0,-212.0,1.0,2,0
1724460644.8389738,148,184,344,141,398.0,323.0,-215.0,0.0,2,0
1724460644.879774,152,179,346,146,403.0,325.0,-212.0,1.0,2,0
1724460644.9208174,155,174,348,151,408.0,327.0,-215.0,0.0,2,0
1724460644.9617052,155,166,352,161,413.0,329.0,-212.0,1.0,2,0
1724460645.0025582,152,162,354,166,418.0,331.0,-215.0,0.0,2,0
1724460645.043394,148,158,356,171,423.0,333.0,-218.0,1.0,2,0
1724460645.0840664,143,154,358,176,428.0,335.0,-221.0,0.0,2,0
1724460645.12479,138,150,361,181,433.0,337.0,-224.0,1.0,2,0
1724460645.1657991,128,142,367,191,438.0,339.0,-227.0,0.0,2,0
1724460645.2067335,123,138,370,196,443.0,341.0,-230.0,1.0,2,0
1724460645.2476547,118,134,373,201,448.0,343.0,-233.0,0.0,2,0
1724460645.2885957,113,130,376,206,453.0,345.0,-236.0,1.0,2,0
1724460645.3297355,103,122,382,216,458.0,346.0,-239.0,0.0,2,0
1724460645.3702788,98,118,385,221,463.0,344.0,-242.0,1.0,2,0
1724460645.4112537,93,114,388,226,468.0,342.0,-245.0,0.0,2,0
1724460645.4520192,88,110,392,231,473.0,340.0,-248.0,0.0,2,0
1724460645.4928408,83,106,396,236,478.0,338.0,-251.0,0.0,2,0
1724460645.533998,73,98,404,246,483.0,336.0,-254.0,0.0,2,0
1724460645.575098,68,94,408,251,486.0,332.0,-257.0,0.0,2,0
1724460645.6160975,63,90,412,256,489.0,328.0,-260.0,0.0,2,0
1724460645.6571937,58,86,416,261,490.0,323.0,-263.0,0.0,2,0
1724460645.698487,48,78,424,271,491.0,318.0,-266.0,0.0,2,2
1724460645.7396247,43,74,428,276,492.0,313.0,-269.0,0.0,2,2
1724460645.7806726,38,70,432,281,493.0,308.0,-272.0,0.0,2,2
1724460645.8216357,33,66,436,286,494.0,303.0,-275.0,0.0,2,2
1724460645.8625479,28,62,440,291,495.0,298.0,-278.0,0.0,2,2
1724460645.903312,18,54,448,301,496.0,293.0,-281.0,0.0,2,2
1724460645.944346,13,50,452,306,497.0,288.0,-284.0,0.0,2,2
1724460645.9850307,8,46,456,311,498.0,283.0,-287.0,0.0,2,2
1724460646.0257714,3,42,460,316,499.0,278.0,-290.0,0.0,2,2
1724460646.066748,-7,34,469,326,500.0,273.0,-293.0,0.0,2,2
1724460646.1075335,-12,30,474,331,501.0,268.0,-296.0,0.0,2,2
1724460646.1485376,-17,26,479,336,502.0,263.0,-299.0,0.0,2,2
1724460646.189469,-22,22,483,341,503.0,258.0,-302.0,0.0,2,2
1724460646.2317593,-32,16,491,351,504.0,253.0,-305.0,0.0,2,0
1724460646.2728913,-37,13,495,356,505.0,248.0,-308.0,0.0,2,0
1724460646.3138924,-42,10,499,361,506.0,243.0,-311.0,0.0,2,0
1724460646.3545556,-47,7,503,366,507.0,238.0,-314.0,0.0,2,0
1724460646.3958488,-52,4,507,371,505.0,233.0,-317.0,0.0,2,0
1724460646.4369442,-62,-2,515,381,503.0,228.0,-320.0,1.0,2,0
1724460646.4779975,-67,-5,518,386,501.0,223.0,-323.0,1.0,2,0
1724460646.519208,-72,-8,519,390,499.0,218.0,-326.0,1.0,2,0
1724460646.5603173,-82,-14,517,393,497.0,213.0,-329.0,1.0,2,0
1724460646.6011534,-87,-16,515,394,495.0,208.0,-332.0,3.0,2,0
1724460646.6422958,-92,-18,512,394,493.0,203.0,-335.0,5.0,2,0
1724460646.6832645,-97,-20,508,394,491.0,198.0,-338.0,7.0,2,0
1724460646.7242165,-102,-22,504,394,489.0,193.0,-341.0,9.0,2,0
1724460646.7653105,-112,-26,494,393,487.0,188.0,-344.0,11.0,2,0
1724460646.80628,-117,-28,489,391,485.0,183.0,-347.0,13.0,2,0
1724460646.847038,-122,-29,484,389,486.0,178.0,-350.0,15.0,2,0
1724460646.887886,-127,-30,479,387,487.0,173.0,-353.0,17.0,2,0
1724460646.9288285,-137,-32,469,383,488.0,168.0,-356.0,19.0,2,0
1724460646.969602,-142,-33,464,381,489.0,163.0,-359.0,21.0,2,0
1724460647.0104492,-147,-34,459,379,490.0,158.0,-362.0,23.0,2,0
1724460647.051265,-152,-35,454,377,491.0,153.0,-365.0,25.0,2,0
1724460647.0920162,-157,-35,449,374,492.0,148.0,-368.0,27.0,2,0
1724460647.1329477,-167,-35,439,368,493.0,143.0,-371.0,29.0,2,0
1724460647.1737843,-172,-35,434,365,494.0,138.0,-374.0,31.0,2,0
1724460647.2147784,-177,-35,429,362,495.0,133.0,-377.0,33.0,2,0
1724460647.2556431,-182,-35,424,359,496.0,128.0,-380.0,35.0,2,0
1724460647.2965658,-192,-35,414,353,497.0,123.0,-383.0,37.0,2,0
1724460647.3373287,-197,-35,409,350,498.0,118.0,-386.0,39.0,2,0
1724460647.3782628,-202,-35,404,347,499.0,113.0,-389.0,41.0,2,0
1724460647.4192986,-207,-35,399,344,500.0,108.0,-392.0,43.0,2,0
1724460647.4602413,-217,-35,389,338,501.0,103.0,-395.0,45.0,2,0
