time_point,player1_x,plater1_y,player2_x,player2_y,stag_x,stag_y,rabbit_x,rabbit_y,value,event
1724460668.1123435,-203,203,203,-203,203,203,-203,-203,2,0
1724460668.1459394,-203,203,203,-203,203,203,-203,-203,2,0
1724460668.1966588,-201,193,198,-200,204.0,198.0,-202.0,-200.0,2,0
1724460668.2413042,-200,188,198,-200,205.0,193.0,-201.0,-197.0,2,0
1724460668.2816515,-199,183,198,-200,206.0,188.0,-200.0,-194.0,2,0
1724460668.322279,-198,178,198,-200,207.0,183.0,-201.0,-191.0,2,0
1724460668.3630278,-196,168,198,-200,208.0,178.0,-202.0,-188.0,2,0
1724460668.4038386,-195,163,198,-200,209.0,173.0,-203.0,-185.0,2,0
1724460668.4446838,-194,158,198,-200,210.0,168.0,-204.0,-182.0,2,0
1724460668.4853756,-193,153,198,-200,211.0,163.0,-205.0,-179.0,2,0
1724460668.5261967,-192,148,198,-200,212.0,158.0,-206.0,-176.0,2,0
1724460668.567234,-191,143,198,-200,213.0,153.0,-207.0,-173.0,2,0
1724460668.607914,-190,138,198,-200,216.0,149.0,-208.0,-170.0,2,0
1724460668.6486936,-188,128,198,-200,221.0,147.0,-209.0,-167.0,2,0
1724460668.6893363,-187,123,198,-200,226.0,146.0,-210.0,-164.0,2,0
1724460668.7300227,-183,113,198,-200,231.0,145.0,-211.0,-161.0,2,0
1724460668.7708771,-181,109,198,-200,236.0,145.0,-212.0,-158.0,2,0
1724460668.811656,-178,105,197,-200,241.0,145.0,-213.0,-155.0,2,0
1724460668.8523347,-175,102,196,-200,246.0,144.0,-214.0,-152.0,2,0
1724460668.8931696,-166,97,193,-200,251.0,144.0,-215.0,-149.0,2,0
1724460668.9340603,-161,95,191,-200,256.0,143.0,-216.0,-146.0,2,0
1724460668.9747658,-156,94,189,-200,261.0,142.0,-217.0,-143.0,2,0
1724460669.0156054,-151,93,187,-200,266.0,141.0,-218.0,-140.0,2,0
1724460669.0562675,-146,92,183,-200,271.0,140.0,-219.0,-137.0,2,0
1724460669.0968955,-141,91,178,-200,276.0,138.0,-220.0,-134.0,2,0
1724460669.1378481,-131,89,168,-200,281.0,136.0,-221.0,-131.0,2,0
1724460669.1786678,-127,87,163,-200,286.0,134.0,-222.0,-128.0,2,0
1724460669.219472,-123,84,159,-200,291.0,132.0,-225.0,-126.0,2,0
1724460669.2605443,-119,81,156,-199,296.0,130.0,-228.0,-124.0,2,0
1724460669.301392,-116,77,153,-198,301.0,129.0,-231.0,-123.0,2,0
1724460669.342642,-112,67,146,-198,306.0,127.0,-234.0,-125.0,2,0
1724460669.3837395,-110,62,141,-198,311.0,125.0,-237.0,-127.0,2,0
1724460669.4245965,-108,57,136,-197,316.0,123.0,-240.0,-129.0,2,0
1724460669.4654787,-104,47,126,-195,321.0,121.0,-243.0,-130.0,2,0
1724460669.5064058,-102,42,121,-194,326.0,119.0,-246.0,-132.0,2,0
1724460669.5472171,-101,37,117,-193,331.0,117.0,-249.0,-134.0,2,0
1724460669.588058,-100,32,113,-192,336.0,115.0,-252.0,-135.0,2,0
1724460669.6291535,-98,22,105,-188,341.0,113.0,-255.0,-136.0,2,0
1724460669.6699693,-97,17,102,-187,345.0,110.0,-258.0,-138.0,2,0
1724460669.7109506,-97,12,99,-186,349.0,107.0,-261.0,-140.0,2,0
1724460669.7518587,-97,7,97,-184,354.0,105.0,-264.0,-142.0,2,0
